timestamp,market,slug,side,entry_price,exit_price,entry_second,exit_second,reason,btc_at_entry,btc_at_exit,btc_ret_at_entry,btc_ret_at_exit,pnl_gross,pnl_net,fees,balance
2026-02-10T18:31:42.203986+00:00,"Bitcoin Up or Down - February 10, 1:30PM-1:45PM ET",btc-updown-15m-1770748200,DOWN,0.4500,0.3800,61,102,BTC_REVERSAL,68883.84,68978.00,-0.000713,0.000653,-3.11,-3.91,0.80,-3.91
2026-02-10T18:57:12.662911+00:00,"Bitcoin Up or Down - February 10, 1:45PM-2:00PM ET",btc-updown-15m-1770749100,DOWN,0.5100,0.3900,66,733,BTC_REVERSAL,68972.69,69044.00,-0.000342,0.000691,-4.71,-5.51,0.80,-9.42
2026-02-10T19:02:14.616057+00:00,"Bitcoin Up or Down - February 10, 2:00PM-2:15PM ET",btc-updown-15m-1770750000,DOWN,0.4800,0.4100,61,135,BTC_REVERSAL,68877.13,68964.55,-0.000390,0.000879,-2.92,-3.72,0.80,-13.13
2026-02-10T19:16:52.247026+00:00,"Bitcoin Up or Down - February 10, 2:15PM-2:30PM ET",btc-updown-15m-1770750900,DOWN,0.5300,0.4300,60,112,BTC_REVERSAL,68874.90,68950.00,-0.000364,0.000726,-3.77,-4.57,0.80,-17.71
2026-02-10T19:38:50.531969+00:00,"Bitcoin Up or Down - February 10, 2:30PM-2:45PM ET",btc-updown-15m-1770751800,UP,0.5100,0.9000,60,531,RESOLUTION,68946.13,69191.19,0.001445,0.005004,15.29,14.49,0.80,-3.21
2026-02-10T19:59:55.773681+00:00,"Bitcoin Up or Down - February 10, 2:45PM-3:00PM ET",btc-updown-15m-1770752700,DOWN,0.3800,0.9800,301,896,RESOLUTION,69240.10,69066.00,-0.000847,-0.003360,31.58,30.78,0.80,30.78
2026-02-10T20:15:07.268640+00:00,"Bitcoin Up or Down - February 10, 3:00PM-3:15PM ET",btc-updown-15m-1770753600,DOWN,0.6000,0.0000,335,907,RESOLUTION,69028.83,68760.86,-0.000531,-0.004411,-20.00,-20.80,0.80,9.98
2026-02-10T20:44:55.619708+00:00,"Bitcoin Up or Down - February 10, 3:30PM-3:45PM ET",btc-updown-15m-1770755400,DOWN,0.5300,0.1000,425,896,RESOLUTION,68784.35,68863.25,-0.000511,0.000635,-16.23,-17.03,0.80,-7.05
2026-02-10T20:59:56.051763+00:00,"Bitcoin Up or Down - February 10, 3:45PM-4:00PM ET",btc-updown-15m-1770756300,DOWN,0.6000,0.9700,326,896,RESOLUTION,68826.00,68799.73,-0.000541,-0.000922,12.33,11.53,0.80,4.49
2026-02-10T21:30:05.578847+00:00,"Bitcoin Up or Down - February 10, 4:15PM-4:30PM ET",btc-updown-15m-1770758100,DOWN,0.5700,0.0000,508,906,RESOLUTION,68792.72,68663.10,-0.000621,-0.002505,-20.00,-20.80,0.80,-16.31
2026-02-11T02:36:34.402953+00:00,"Bitcoin Up or Down - February 10, 9:30PM-9:45PM ET",btc-updown-15m-1770777000,UP,0.6000,0.3600,322,394,TOKEN_STOP_LOSS,69097.00,69026.69,0.000565,-0.000453,-8.00,-8.80,0.80,-8.80
2026-02-11T03:09:45.635164+00:00,"Bitcoin Up or Down - February 10, 10:00PM-10:15PM ET",btc-updown-15m-1770778800,DOWN,0.5500,0.3300,315,586,TOKEN_STOP_LOSS,68639.18,68711.48,-0.000556,0.000497,-8.00,-8.80,0.80,-17.60
2026-02-11T03:57:49.562624+00:00,"Bitcoin Up or Down - February 10, 10:45PM-11:00PM ET",btc-updown-15m-1770781500,DOWN,0.5100,0.9700,303,770,TAKE_PROFIT,68420.01,68284.16,-0.000640,-0.002625,18.04,17.24,0.80,-0.36
2026-02-11T04:23:43.115977+00:00,"Bitcoin Up or Down - February 10, 11:15PM-11:30PM ET",btc-updown-15m-1770783300,UP,0.5800,0.3300,448,523,TOKEN_STOP_LOSS,68056.19,67969.11,0.000507,-0.000773,-8.62,-9.42,0.80,-9.78
2026-02-11T04:38:48.329693+00:00,"Bitcoin Up or Down - February 10, 11:30PM-11:45PM ET",btc-updown-15m-1770784200,UP,0.6000,0.5900,333,528,BTC_REVERSAL,67614.00,67489.99,0.000553,-0.001282,-0.33,-1.13,0.80,-10.91
2026-02-11T04:56:51.641638+00:00,"Bitcoin Up or Down - February 10, 11:45PM-12:00AM ET",btc-updown-15m-1770785100,DOWN,0.4600,0.2600,481,712,TOKEN_STOP_LOSS,67510.25,67569.00,-0.000518,0.000351,-8.70,-9.50,0.80,-20.41
2026-02-11T05:22:00.342285+00:00,"Bitcoin Up or Down - February 11, 12:15AM-12:30AM ET",btc-updown-15m-1770786900,DOWN,0.5400,0.3300,304,420,BTC_REVERSAL,67678.70,67777.99,-0.000633,0.000833,-7.78,-8.58,0.80,-28.99
2026-02-11T05:38:35.350772+00:00,"Bitcoin Up or Down - February 11, 12:30AM-12:45AM ET",btc-updown-15m-1770787800,UP,0.5100,0.2900,484,515,TOKEN_STOP_LOSS,67591.49,67507.76,0.000600,-0.000640,-8.63,-9.43,0.80,-38.42
2026-02-11T13:11:29.664284+00:00,"Bitcoin Up or Down - February 11, 8:00AM-8:15AM ET",btc-updown-15m-1770814800,DOWN,0.5700,0.9700,511,690,TAKE_PROFIT,67090.00,66927.92,-0.000648,-0.003062,14.04,13.24,0.80,13.24
2026-02-11T13:29:55.827591+00:00,"Bitcoin Up or Down - February 11, 8:15AM-8:30AM ET",btc-updown-15m-1770815700,DOWN,0.5000,0.5900,357,896,RESOLUTION,66884.23,66850.24,-0.000576,-0.001084,3.60,2.80,0.80,16.04
2026-02-11T13:59:04.431926+00:00,"Bitcoin Up or Down - February 11, 8:45AM-9:00AM ET",btc-updown-15m-1770817500,UP,0.5800,0.9700,301,844,TAKE_PROFIT,67284.37,67492.00,0.001606,0.004697,13.45,12.65,0.80,28.68
2026-02-11T15:08:57.060313+00:00,"Bitcoin Up or Down - February 11, 10:00AM-10:15AM ET",btc-updown-15m-1770822000,DOWN,0.6000,0.9700,305,537,TAKE_PROFIT,66454.95,65965.57,-0.002080,-0.009429,12.33,11.53,0.80,40.22
2026-02-11T15:29:27.939401+00:00,"Bitcoin Up or Down - February 11, 10:15AM-10:30AM ET",btc-updown-15m-1770822900,UP,0.5700,0.9700,389,868,TAKE_PROFIT,66180.01,66359.24,0.001010,0.003721,14.04,13.24,0.80,53.45
